#---------------,--------------------,--------------------,-------,---------,-----------
#  NAME         ,  RAJ               ,  DECJ              ,  DIST ,  AGE    ,  EDOT
#               ,  (hms)             ,  (dms)             ,  (kpc),  (Yr)   ,  (ergs/s)
#---------------,--------------------,--------------------,-------,---------,-----------
  J0454+4529    , 04:54:59.310       , +45:29:46.7        , 0.765 , 4.5e+06 , 7.2e+31
  B0450+55      , 04:54:07.7506      , +55:43:41.437      , 1.180 , 2.28e+06, 2.4e+33
  B0456-69      , 04:55:47.55        , -69:51:34.3        , 49.700, 4.97e+05, 1.2e+34
  J0456-69      , 04:56:30           , -69:10             , 49.700, *       , *

  J0456-7031    , 04:56:02.5         , -70:31:06.6        , 49.700, 3.45e+05, 2.8e+33
  J0457+23      , 04:57:06           , +23:34:00          , 1.517 , *       , *
  J0457-6337    , 04:57:07.79        , -63:37:30.4        , 1.333 , 1.88e+08, 5.3e+29
  J0457-69      , 04:57:02           , -69:46             , 49.700, *       , *
  J0458-0505    , 04:58:37.121       , -05:05:05.1        , 1.938 , 5.63e+07, 3.1e+30

  J0458-67      , 04:58:59           , -67:43             , 49.700, *       , *
  J0459-0210    , 04:59:51.941       , -02:10:06.6        , 0.160 , 1.28e+07, 3.8e+31
  J0501+4516    , 05:01:06.76        , +45:16:33.92       , 5.000 , 1.57e+04, 1.2e+33
  B0458+46      , 05:02:04.561       , +46:54:06.09       , 1.319 , 1.81e+06, 8.5e+32
  B0502-66      , 05:02:50.53        , -66:17:58.8        , 49.700, 4.74e+05, 2.8e+33

  J0506+50      , 05:06:14.1         , +50:30:30          , 1.383 , *       , *
  J0509+0856    , 05:09:22.23485     , +08:56:25.0248     , 0.817 , 1.46e+10, 2.6e+33
  J0509+3801    , 05:09:31.7880      , +38:01:18.083      , 1.562 , 1.53e+08, 7.0e+32
  J0511-6508    , 05:11:56.50        , -65:08:36.5        , 0.818 , 2.48e+07, 2.4e+32
  J0514-4002A   , 05:14:06.69271     , -40:02:48.8930     , 11.440, 1.13e+11, 2.2e+32

  J0514-4002B   , 05:14:06.73        , -40:02:47.9        , 11.440, *       , *
  J0514-4002C   , 05:14:06.69        , -40:02:49.4        , 11.440, *       , *
  J0514-4002D   , 05:14:06.73        , -40:02:48.2        , 11.440, *       , *
  J0514-4002E   , 05:14:06.68        , -40:02:47.7        , 11.440, *       , *
  J0514-4002F   , 05:14:06.7         , -40:02:48.5        , 11.440, *       , *

  J0514-4002G   , 05:14:06.63        , -40:02:48.1        , 11.440, *       , *
  J0514-4002H   , 05:14:06.6         , -40:02:48          , 11.440, *       , *
  J0514-4002I   , 05:14:06.75        , -40:02:48.2        , 11.440, *       , *
  J0514-4002J   , 05:14:06.7         , -40:02:48          , 11.440, *       , *
  J0514-4002K   , 05:14:06.8         , -40:02:48          , 11.440, *       , *

  J0514-4002L   , 05:14:06.8         , -40:02:48.0        , 11.440, *       , *
  J0514-4002M   , 05:14:06.8         , -40:02:48          , 11.440, *       , *
  J0514-4002N   , 05:14:06.7         , -40:02:47          , 11.440, *       , *
  J0514-4408    , 05:14:52.190       , -44:08:37.38       , 0.966 , 2.48e+06, 2.5e+33
  J0517+2212    , 05:17:17.147       , +22:12:51.9        , 0.159 , 3.04e+08, 4.2e+31

  J0518+5125    , 05:18:26.145       , +51:25:58.7        , 1.337 , 7.57e+07, 9.9e+30
  J0518+5416    , 05:18:53.199       , +54:16:50.0        , 1.434 , 3.22e+06, 1.7e+33
  J0519+44      , 05:19              , +44                , 1.421 , *       , *
  J0519-6932    , 05:19:46.917       , -69:32:23.48       , 49.700, 5.98e+06, 1.5e+33
  J0520-2553    , 05:20:36.185       , -25:53:12.29       , 2.379 , 1.27e+08, 8.4e+31

  J0521-68      , 05:21:44           , -68:35             , 49.700, *       , *
  J0522-6847    , 05:22:23.06        , -68:47:02.2        , 49.700, 6.03e+05, 2.3e+33
  J0523-7125    , 05:23:48.66        , -71:25:52.58       , 49.700, *       , *
  B0523+11      , 05:25:56.4483      , +11:15:19.08       , 1.841 , 7.63e+07, 6.5e+31
  J0525-6607    , 05:26:00.9         , -66:04:36.3        , *     , 1.96e+03, 4.9e+33

  B0525+21      , 05:28:52.264       , +22:00:04          , 1.215 , 1.48e+06, 3.0e+31
  J0529-0715    , 05:29:08.973       , -07:15:26.43       , 7.002 , 1.9e+07 , 6.9e+31
  B0529-66      , 05:29:50.90        , -66:52:39.9        , 49.700, 9.99e+05, 6.6e+32
  J0530-39      , 05:30              , -39                , 25.000, *       , *
  J0532-6639    , 05:32:59.51        , -66:39:37.3        , 49.700, 1.9e+06 , 8.0e+32

  J0532-69      , 05:32:04           , -69:46             , 49.700, *       , *
  J0533+0402    , 05:33:25.828       , +04:01:59.7        , 2.172 , 9.53e+07, 7.1e+30
  J0533-4524    , 05:33:13.89        , -45:24:50.2        , 1.239 , 8.89e+06, 2.8e+33
  J0533+6759    , 05:33:55.1401      , +67:59:17.489      , 2.392 , 5.51e+09, 5.9e+33
  J0534-13      , 05:34              , -13                , 6.226 , *       , *

  B0531+21      , 05:34:31.973       , +22:00:52.06       , 2.000 , 1.26e+03, 4.5e+38
  J0534+34      , 05:34:30           , +34:07             , 0.403 , *       , *
