#---------------,--------------------,--------------------,-------,---------,-----------
#  NAME         ,  RAJ               ,  DECJ              ,  DIST ,  AGE    ,  EDOT
#               ,  (hms)             ,  (dms)             ,  (kpc),  (Yr)   ,  (ergs/s)
#---------------,--------------------,--------------------,-------,---------,-----------
  J1904+0358g   , 19:04:22           , +03:58             , 12.102, *       , *
  J1904+0412    , 19:04:31.382       , +04:12:05.9        , 4.578 , 1.02e+10, 1.2e+31
  J1904+0415g   , 19:04:06           , +04:15             , 9.609 , *       , *
  J1904+0451    , 19:04:59.3848      , +04:51:54.953      , 4.401 , 1.69e+10, 1.0e+33

  J1904+0519g   , 19:04:08           , +05:19             , 2.500 , *       , *
  J1904+0535g   , 19:04:52           , +05:35             , 2.429 , *       , *
  J1904+0553g   , 19:04:17           , +05:53             , 4.013 , *       , *
  J1904+0603g   , 19:04:52           , +06:03             , 6.075 , *       , *
  J1904+0738    , 19:04:07.533       , +07:38:51.69       , 6.154 , 8.06e+06, 1.8e+33

  J1904+0800    , 19:04:03.50        , +08:00:52.6        , 10.966, 2.41e+05, 3.7e+34
  J1904+0823g   , 19:04:44           , +08:23             , 1.838 , *       , *
  J1904+0836g   , 19:04:35           , +08:36             , 2.926 , *       , *
  J1904+0852g   , 19:04:55           , +08:52             , 5.894 , *       , *
  B1901+10      , 19:04:02.49        , +10:11:34.6        , 5.496 , 1.07e+08, 1.7e+30

  J1904-11      , 19:04:34           , -11:30:34          , 4.659 , *       , *
  J1904-1224    , 19:04:33.281       , -12:24:01.3        , 7.274 , 1.6e+07 , 6.9e+31
  J1904-1629    , 19:04:51.37        , -16:29:19          , 25.000, 7.66e+06, 3.4e+31
  J1904+33      , 19:04              , +33                , 9.134 , *       , *
  B1902-01      , 19:05:27.752       , -00:56:40.8        , 7.644 , 3.33e+06, 4.5e+32

  J1905+0154A   , 19:05:15.4         , +01:54:33          , 7.900 , *       , *
  J1905+0400    , 19:05:28.273436    , +04:00:10.8830     , 1.064 , 1.22e+10, 3.6e+33
  J1905+0414    , 19:05              , +04:14             , 9.081 , *       , *
  J1905+0450g   , 19:05:59           , +04:50             , 9.912 , *       , *
  J1905+0600    , 19:05:04.35        , +06:00:59.9        , 8.797 , 6.28e+06, 5.1e+32

  J1905+0616    , 19:05:06.849       , +06:16:16.7        , 4.952 , 1.16e+05, 5.5e+33
  J1905+0656g   , 19:05:45           , +06:56             , 1.041 , *       , *
  B1903+07      , 19:05:53.62        , +07:09:19.4        , 4.980 , 2.08e+06, 7.2e+32
  J1905+0758g   , 19:05:48           , +07:58             , 4.807 , *       , *
  J1905+0902    , 19:05:19.535       , +09:02:32.49       , 11.553, 9.88e+05, 1.3e+34

  J1905+0920g   , 19:05:09           , +09:20             , 11.550, *       , *
  J1905+0936g   , 19:05:25           , +09:36             , 12.298, *       , *
  J1905+1034    , 19:05:20.625       , +10:34:27.7        , 6.910 , 1.32e+06, 1.6e+32
  J1906+0055    , 19:06:48.68051     , +00:55:07.886      , 4.477 , 1.33e+10, 6.0e+33
  J1906+0414    , 19:06:57.793       , +04:14:29.44       , 10.069, 1.44e+06, 4.0e+32

  J1906+0454    , 19:06:47.13970     , +04:54:09.042      , 4.092 , 1.11e+10, 1.3e+34
  J1906+0509    , 19:06:56.497       , +05:09:35.6        , 3.091 , 1.21e+06, 3.3e+33
  B1904+06      , 19:06:35.244       , +06:41:02.90       , 7.000 , 1.98e+06, 4.4e+33
  J1906+0646g   , 19:06:15           , +06:46             , 5.317 , *       , *
  J1906+0649    , 19:06:11.97        , +06:49:48.1        , 4.966 , 1.34e+08, 2.8e+30

  J1906+0722    , 19:06:31.20        , +07:22:55.8        , *     , 4.92e+04, 1.0e+36
  J1906+0724    , 19:06:22.577       , +07:24:22.8        , 6.929 , 8.12e+06, 3.3e+31
  J1906+0746    , 19:06:48.86        , +07:46:25.9        , 7.400 , 1.13e+05, 2.7e+35
  J1906+0757g   , 19:06:40           , +07:57             , 2.465 , *       , *
  J1906+0822g   , 19:06:38           , +08:22             , 7.037 , *       , *

  J1906+0912    , 19:06:28.46        , +09:12:56.6        , 7.414 , 9.29e+07, 1.1e+31
  J1906+1854    , 19:06:44.71        , +18:54:08.5        , 6.721 , 7.86e+07, 7.7e+30
  J1907+0249    , 19:07:42.03        , +02:49:41          , 8.751 , 4.91e+06, 1.0e+33
  J1907+0255    , 19:07:17.90        , +02:55:02.7        , 7.986 , 4.4e+07 , 3.7e+31
  J1907+0345    , 19:07:14.543       , +03:45:10.6        , 9.481 , 4.63e+05, 2.3e+34

  J1907+0534    , 19:07:23.34        , +05:34:53          , 11.835, 5.73e+06, 8.4e+31
  J1907+0602    , 19:07:54.74        , +06:02:16.9        , 2.370 , 1.95e+04, 2.8e+36
  J1907+0631    , 19:07:03.816       , +06:31:18.9        , 3.400 , 1.13e+04, 5.3e+35
  J1907+0658g   , 19:07:34           , +06:58             , 7.715 , *       , *
  J1907+0709g   , 19:07:57           , +07:09             , 5.397 , *       , *

  J1907+0731    , 19:07:54.79        , +07:31:21.9        , 4.994 , 3.13e+05, 1.5e+34
  J1907+0740    , 19:07:44.118       , +07:40:22.6        , 5.810 , 1.36e+07, 1.4e+32
  J1907+0833    , 19:07:57.044       , +08:33:59.99       , 8.310 , 7.19e+05, 3.1e+34
  J1907+0859    , 19:07:01.913       , +08:59:43.8        , 4.989 , 4.36e+06, 6.1e+31
  J1907+0918    , 19:07:22.441       , +09:18:30.76       , 8.223 , 3.8e+04 , 3.2e+35

  J1907+0919    , 19:07:14.33        , +09:19:20.1        , *     , 895     , 2.6e+34
  J1907+1149    , 19:07:37.78        , +11:49:37.1        , 7.551 , 1.41e+05, 2.2e+33
  B1904+12      , 19:07:10.70        , +12:47:35.9        , 10.526, 6.73e+06, 1.4e+32
  J1907-1532    , 19:07:06.78        , -15:32:14.9        , 3.475 , 3.25e+06, 4.8e+32
  B1905+39      , 19:07:34.656       , +40:02:05.71       , 2.460 , 3.62e+07, 1.1e+31

  J1907+57      , 19:07              , +57                , 6.706 , *       , *
  J1908+0457    , 19:08:16.15        , +04:57:41          , 11.278, 1.37e+07, 6.4e+31
  J1908+0500    , 19:08:05.162       , +05:00:54.45       , 5.845 , 1.78e+06, 4.1e+33
  J1908+0558    , 19:08:01.997       , +05:58:33.94       , 10.615, 1.17e+06, 1.9e+34
  J1908+0734    , 19:08:17.010       , +07:34:14.36       , 0.669 , 4.08e+06, 3.4e+33

  J1908+0811g   , 19:08:44           , +08:11             , 5.643 , *       , *
  J1908+0833    , 19:08:20.960       , +08:33:31.5        , 11.320, 4.08e+06, 5.8e+32
  J1908+0839    , 19:08:18.51        , +08:39:59.2        , 8.272 , 1.23e+06, 1.5e+34
  J1908+0909    , 19:08:07.437       , +09:09:12.4        , 8.906 , 1.53e+05, 3.6e+34
  B1906+09      , 19:08:58.76        , +09:16:14          , 5.561 , 1.34e+08, 6.8e+30

  J1908+0949g   , 19:08:08           , +09:49             , 6.001 , *       , *
  J1908+1035g   , 19:08:23           , +10:35             , 0.671 , *       , *
  J1908+1351    , 19:08:35.31        , +13:51:40          , 6.884 , 1.36e+07, 4.6e+30
  J1908+2105    , 19:08:57.2940      , +21:05:02.726      , 2.601 , 2.94e+09, 3.2e+34
  J1908+2351    , 19:08:31.94        , +23:51:41.9        , 5.405 , 3.52e+08, 1.2e+31

  B1907+00      , 19:09:35.257       , +00:07:57.77       , 4.358 , 2.92e+06, 2.1e+32
  B1907+02      , 19:09:38.310       , +02:54:50.67       , 4.500 , 2.84e+06, 2.2e+32
  J1909+0616    , 19:09:51.21        , +06:16:51.8        , 9.559 , 5.82e+05, 1.9e+33
  J1909+0641    , 19:09:29.052       , +06:41:25.8        , 1.325 , 3.65e+06, 3.1e+32
  J1909+0657g   , 19:09:14           , +06:57             , 1.806 , *       , *

  J1909+0749    , 19:09:08.2         , +07:49:32          , 8.286 , 2.47e+04, 4.5e+35
  J1909+0905g   , 19:09:39           , +09:05             , 5.363 , *       , *
  J1909+0912    , 19:09:19.91        , +09:12:53.7        , 7.608 , 9.87e+04, 1.3e+35
  J1909+0930g   , 19:09:47           , +09:30             , 8.378 , *       , *
  B1907+10      , 19:09:48.6829      , +11:02:03.044      , 4.800 , 1.7e+06 , 4.6e+33

  J1909+1132g   , 19:09:37           , +11:32             , 8.104 , *       , *
  J1909+1148    , 19:09:31.379       , +11:48:59.86       , 7.126 , 9.81e+07, 3.2e+31
  J1909+1205    , 19:09:51.47        , +12:05:47          , 10.130, 5.73e+06, 7.2e+31
  J1909+1450    , 19:09:26.96        , +14:50:58          , 4.411 , 7.21e+07, 8.7e+30
  J1909+1859    , 19:09:18.604       , +18:59:10.74       , 2.447 , 8.86e+07, 2.4e+31

  J1909-3744    , 19:09:47.4322832   , -37:44:14.583740   , 1.140 , 3.33e+09, 2.2e+34
  J1910-0112    , 19:10:15.7         , -01:12:06          , 8.105 , 1.21e+08, 2.8e+30
  J1910+0225    , 19:10:10.359       , +02:25:23.6        , 7.932 , 2.04e+07, 2.7e+32
  B1907-03      , 19:10:29.692       , -03:09:54.1        , 14.441, 3.65e+06, 6.7e+32
  B1907+03      , 19:10:09.06        , +03:58:28.0        , 2.859 , 8.26e+06, 1.4e+31

  J1910+0435    , 19:10:11.072       , +04:35:29.5        , 11.322, 6.11e+05, 2.3e+33
  J1910+0517    , 19:10:37.907       , +5:17:56.1         , 11.021, 6.68e+06, 9.9e+32
  J1910+0534    , 19:10:26.51        , +05:34:09          , 21.255, 3.73e+06, 8.2e+32
  J1910-0556    , 19:10:16.523       , -05:56:29.9        , 3.822 , 1.48e+07, 1.4e+32
  J1910+0710    , 19:10:13.873       , +07:10:46.4        , 5.974 , 4.16e+07, 5.2e+31

  J1910+0714    , 19:10:18.597       , +07:14:11.8        , 3.679 , 7.02e+06, 1.2e+31
  J1910+0728    , 19:10:22.079       , +07:28:37.09       , 6.233 , 6.21e+05, 9.5e+33
  J1910+1017    , 19:10:26.124       , +10:17:54.09       , 13.677, 1.2e+06 , 3.1e+33
  J1910+1026    , 19:10:48.753       , +10:26:52.5        , 15.743, 3.28e+04, 6.8e+34
  J1910+1054g   , 19:10:01           , +10:54             , 4.372 , *       , *

  J1910+1117g   , 19:10:27           , +11:17             , 7.889 , *       , *
  B1907+12      , 19:10:13.53        , +12:31:40.2        , 8.139 , 2.78e+06, 1.1e+32
  J1910+1256    , 19:10:09.701495    , +12:56:25.45385    , 1.496 , 8.16e+09, 3.1e+33
  J1910+56      , 19:10:42           , +56:55             , 1.482 , *       , *
  J1910-5959A   , 19:11:42.75562     , -59:58:26.9029     , 4.000 , 1.76e+10, 3.3e+33

  J1910-5959B   , 19:10:52.0556      , -59:59:00.861      , 4.000 , *       , *
  J1910-5959C   , 19:11:05.5552      , -60:00:59.700      , 4.000 , 3.87e+10, 5.8e+32
  J1910-5959D   , 19:10:52.4163      , -59:59:05.479      , 4.000 , 1.48e+08, 5.2e+34
  J1910-5959E   , 19:10:52.1572      , -59:59:02.087      , 4.000 , *       , *
  J1910-5959F   , 19:10:52.066       , -59:59:09.30       , 4.000 , 1.81e+08, 4.8e+34

  J1911+00      , 19:11:48           , +00:37             , 4.047 , *       , *
  B1908+00A     , 19:11:11.08957     , +01:02:09.741      , 7.400 , *       , *
  J1911+0101B   , 19:11:12.5725      , +01:01:50.44       , 7.400 , *       , *
  J1911+0751g   , 19:11:43           , +07:51             , 5.573 , *       , *
  J1911+0921    , 19:11:46.487       , +09:21:56.8        , 6.412 , 2.48e+08, 3.4e+31

  J1911+0925    , 19:11:59.472       , +09:25:32.2        , 8.147 , 1.45e+06, 4.1e+33
  J1911+0939g   , 19:11:38           , +09:39             , 10.593, *       , *
  J1911+1051    , 19:11:42.262       , +10:51:26.74       , 10.118, 2.49e+05, 6.9e+34
  J1911-1114    , 19:11:49.28233     , -11:14:22.481      , 1.069 , 4.12e+09, 1.2e+34
  J1911+1252g   , 19:11:28           , +12:52             , 2.167 , *       , *

  J1911+1301    , 19:11:31.739       , +13:01:26.6        , 11.653, 8.47e+06, 7.2e+31
  J1911+1336    , 19:11:59.541       , +13:36:55.00       , 10.420, 3e+07   , 2.3e+32
  J1911+1347    , 19:11:55.2034741   , +13:47:34.35584    , 1.365 , 4.33e+09, 6.7e+33
  J1911+1758    , 19:11:55.390       , +17:58:45.79       , 1.955 , 5.57e+08, 5.3e+30
  J1912+0934g   , 19:12:41           , +09:34             , 4.025 , *       , *

  B1910+10      , 19:12:46.33        , +10:36:41.6        , 4.154 , 4.11e+05, 9.1e+33
  J1912+1105g   , 19:12:26           , +11:05             , 4.348 , *       , *
  J1912+1417g   , 19:12:32           , +14:17             , 2.164 , *       , *
  B1910+20      , 19:12:43.3391      , +21:04:33.926      , 3.369 , 3.48e+06, 3.6e+31
  J1912+2525    , 19:12:18.626       , +25:25:02.12       , 2.150 , 4.38e+07, 3.7e+31

  B1911-04      , 19:13:54.1735      , -04:40:47.68       , 4.041 , 3.22e+06, 2.9e+32
  J1913+0446    , 19:13:50.82        , +04:46:06          , 4.338 , 9.18e+04, 2.6e+33
  J1913+0523    , 19:13:22.721       , +05:23:58.8        , 16.102, 5.84e+06, 2.4e+32
  J1913+0618    , 19:13:17.8786      , +06:18:08.277      , 5.863 , 8.29e+09, 3.0e+33
  J1913+0657    , 19:13:32.92        , +06:57:24.3        , 5.069 , 7.04e+06, 5.6e+31

  J1913+0832    , 19:13:00.50        , +08:32:05.1        , 8.204 , 4.66e+05, 7.4e+34
  J1913+0904    , 19:13:21.061       , +09:04:45.4        , 2.997 , 1.47e+05, 1.6e+35
  B1911+09      , 19:13:52.70        , +09:36:41.8        , 4.337 , 4.56e+07, 8.9e+30
  J1913+1000    , 19:13:03.59        , +10:00:02.4        , 7.671 , 7.92e+05, 1.1e+33
  J1913+1011    , 19:13:20.341       , +10:11:22.97       , 4.613 , 1.69e+05, 2.9e+36

  J1913+1037g   , 19:13:53           , +10:37             , 7.889 , *       , *
  J1913+1050    , 19:13:35.364       , +10:50:26.6        , 5.446 , 1.54e+07, 1.1e+33
  J1913+1054g   , 19:13:07           , +10:54             , 7.112 , *       , *
  J1913+1102    , 19:13:29.0542      , +11:02:05.741      , 7.140 , 2.69e+09, 3.1e+32
  J1913+11025   , 19:13:42.715       , +11:02:58.8        , 11.411, 4.3e+07 , 1.7e+31

  J1913+1145    , 19:13:43.88        , +11:45:33.1        , 13.817, 9.67e+05, 6.9e+33
  J1913+1330    , 19:13:17.97        , +13:30:32.78       , 6.179 , 1.69e+06, 4.4e+32
  B1911+13      , 19:13:24.3527      , +14:00:52.559      , 5.263 , 1.03e+07, 2.2e+32
  J1913+3732    , 19:13:27.887       , +37:32:12.30       , 7.584 , 9.78e+06, 8.8e+31
  J1914+0219    , 19:14:23.794       , +02:19:47.8        , 14.386, 7.12e+06, 4.2e+32

  J1914+0625    , 19:14:08.359       , +06:25:00.97       , 8.333 , 3.07e+07, 2.6e+31
  J1914+0631    , 19:14:17.24        , +06:31:56.3        , 1.776 , 3.31e+08, 3.9e+30
  J1914+0659    , 19:14:17.647       , +07:01:11.00       , 8.467 , 9.46e+09, 1.9e+32
  J1914+0805    , 19:14:05.508       , +08:05:12.7        , 10.671, 2.39e+08, 1.3e+31
  J1914+0838    , 19:14:26.4506      , +08:38:45.14       , 8.071 , 1.19e+07, 2.7e+32

  J1914+1029g   , 19:14:23           , +10:29             , 1.880 , *       , *
  J1914+1054g   , 19:14:07           , +10:54             , 7.767 , *       , *
  B1911+11      , 19:14:10.12        , +11:22:03.7        , 3.140 , 1.45e+07, 1.2e+32
  J1914+1228g   , 19:14:55           , +12:28             , 7.309 , *       , *
  J1914+1428    , 19:14:53.946       , +14:28:46.2        , 6.514 , 8.42e+06, 5.5e+31

  J1915+0227    , 19:15:02.122       , +02:27:47.77       , 10.203, 1.68e+07, 3.7e+32
  J1915+0639    , 19:15:54.327       , +06:39:46.21       , 8.874 , 5.54e+06, 2.7e+32
  J1915+0738    , 19:15:24.80        , +07:38:31.4        , 1.404 , 7.39e+06, 3.6e+31
  J1915+0752    , 19:15:01.94        , +07:52:09.2        , 3.566 , 2.35e+08, 6.3e+29
  J1915+0832g   , 19:15:06           , +08:32             , 1.366 , *       , *

  J1915+0838    , 19:15:13.87        , +08:38:59.7        , 10.840, 3.46e+06, 1.5e+33
  B1913+10      , 19:15:29.991       , +10:09:43.37       , 7.000 , 4.2e+05 , 9.1e+33
  J1915-11      , 19:15              , -11:30             , 5.495 , *       , *
  J1915+1145    , 19:15:33.1231      , +11:45:40.98       , 7.153 , 1.8e+08 , 1.2e+32
  J1915+1150    , 19:15:16.61        , +11:50:35.4        , 14.005, 1.16e+05, 5.4e+35

  J1915+1410    , 19:15:35.416       , +14:10:51.5        , 7.128 , 9.63e+07, 7.3e+31
  B1913+16      , 19:15:27.99942     , +16:06:27.3868     , 4.167 , 1.09e+08, 1.7e+33
  B1913+167     , 19:15:19.10        , +16:47:08.5        , 2.196 , 6.32e+07, 3.8e+30
  J1916+0741g   , 19:16:17           , +07:41             , 8.442 , *       , *
  J1916+0748    , 19:16:51.5         , +07:48:00          , 11.779, 8.02e+05, 2.7e+33

  J1916+0748g   , 19:17:00           , +07:48             , 6.438 , *       , *
  J1916+0844    , 19:16:19.081       , +08:44:07.0        , 10.988, 2.4e+06 , 1.3e+33
  J1916+0852    , 19:16:24.6         , +08:52:36          , 9.391 , 2.64e+06, 5.0e+31
  B1914+09      , 19:16:32.3445      , +09:51:25.98       , 1.904 , 1.7e+06 , 5.0e+33
  J1916+1023    , 19:16:36.91        , +10:23:03          , 7.877 , 3.77e+07, 6.3e+30

  B1913+105     , 19:16:11.72        , +10:30:53.4        , 8.148 , 2.93e+08, 5.4e+30
  J1916+1030g   , 19:16:46           , +10:30             , 11.353, *       , *
  J1916+1225    , 19:16:20.045       , +12:25:53.94       , 6.486 , 1.54e+05, 7.9e+34
  B1914+13      , 19:16:58.67        , +13:12:50.0        , 4.500 , 1.22e+06, 6.5e+33
  J1916-2939    , 19:16:32.701       , -29:39:27.8        , 1.600 , 1.59e+07, 2.5e+31

  J1916+3224    , 19:16:03.468       , +32:24:39.70       , 7.945 , 5.19e+06, 9.3e+31
  J1917+0743g   , 19:17:26           , +07:43             , 8.247 , *       , *
  J1917+0834    , 19:17:48.853       , +08:34:54.63       , 1.231 , 1.93e+06, 7.1e+31
  J1917+1046g   , 19:17:55           , +10:46             , 4.865 , *       , *
  J1917+1121g   , 19:17:27           , +11:21             , 7.078 , *       , *

  J1917+1259g   , 19:17:29           , +12:59             , 3.637 , *       , *
  B1915+13      , 19:17:39.7864      , +13:53:57.077      , 5.882 , 4.28e+05, 3.9e+34
  J1917+1411g   , 19:17:26           , +14:11             , 3.968 , *       , *
  J1917+1737    , 19:17:23.976       , +17:37:31.6        , 5.530 , 1.64e+07, 3.4e+32
  B1915+22      , 19:17:44.22        , +22:22:48.8        , 4.965 , 2.36e+06, 1.5e+33

  J1918-0642    , 19:18:48.032722    , -06:42:34.90044    , 1.111 , 4.72e+09, 2.3e+33
  J1918-1052    , 19:18:48.247       , -10:52:46.38       , 2.966 , 1.46e+07, 6.7e+31
  J1918+1311    , 19:18:46.220       , +13:11:24.51       , 6.187 , 6.01e+06, 1.4e+32
  J1918+1340g   , 19:18:54           , +13:40             , 11.865, *       , *
  B1916+14      , 19:18:23.638       , +14:45:06.00       , 1.304 , 8.81e+04, 5.1e+33

  J1918+1536g   , 19:18:23           , +15:36             , 3.830 , *       , *
  J1918+1540g   , 19:18:19           , +15:40             , 6.477 , *       , *
  J1918+1541    , 19:18:07.70        , +15:41:15.2        , 0.727 , 2.31e+06, 2.0e+33
  J1918+1547g   , 19:18:34           , +15:47             , 2.185 , *       , *
  B1917+00      , 19:19:50.6715      , +00:21:39.722      , 5.882 , 2.63e+06, 1.5e+32

  J1919+0134    , 19:19:43.62        , +01:34:56.5        , 14.371, 4.31e+07, 5.6e+30
  J1919+1314    , 19:19:32.986       , +13:14:37.3        , 13.026, 2.39e+06, 8.0e+32
  J1919+1527g   , 19:19:50           , +15:27             , 16.926, *       , *
  J1919+1645    , 19:19:09.243       , +16:45:22.72       , 5.414 , 4.13e+07, 4.8e+31
  J1919+1745    , 19:19:43.342       , +17:45:03.79       , 4.094 , 1.93e+07, 7.5e+30

  J1919+23      , 19:19:26           , +23:52:46          , *     , *       , *
  J1919+2621    , 19:19:41.013       , +26:21:29.46       , 6.099 , 1.89e+07, 7.8e+31
  J1920-0950    , 19:20:55.93        , -09:50:01.0        , 6.186 , 4.19e+07, 1.4e+31
  J1920+1040    , 19:20:55.38        , +10:40:31          , 10.151, 5.42e+06, 2.4e+31
  J1920+1110    , 19:20:13.31        , +11:10:59          , 6.319 , 5.18e+07, 4.6e+31

  J1920+1515g   , 19:20:22           , +15:15             , 15.739, *       , *
  B1918+26      , 19:20:38.374       , +26:50:38.4        , 1.722 , 3.62e+08, 2.8e+30
  J1921+0137    , 19:21:30.30765     , +01:37:25.539      , 5.086 , 2.04e+09, 4.9e+34
  J1921-05      , 19:21:04           , -05:23             , 4.077 , *       , *
  J1921-0510    , 19:21:29.45        , -05:10:10.8        , 5.604 , 2.09e+07, 4.7e+31

  J1921+0812    , 19:21:47.704       , +08:12:51.86       , 2.896 , 6.22e+05, 2.3e+34
  J1921+0921    , 19:21:53.487       , +09:21:30.2        , 6.139 , 9.3e+05 , 2.1e+33
  J1921+1259g   , 19:21:18           , +12:59             , 8.227 , *       , *
  J1921+1340g   , 19:21:30           , +13:40             , 25.000, *       , *
  B1919+14      , 19:21:24.159       , +14:19:17.1        , 2.810 , 1.75e+06, 9.4e+32

  J1921+1505g   , 19:21:25           , +15:05             , 10.631, *       , *
  J1921+1544    , 19:21:46.4723      , +15:44:17.46       , 9.038 , 2.32e+06, 1.3e+34
  J1921+1630    , 19:21:00.142       , +16:30:55.8        , 5.097 , 6.64e+05, 1.1e+33
  J1921+1929    , 19:21:23.35070     , +19:29:22.299      , 2.434 , 1.1e+09 , 8.1e+34
  B1918+19      , 19:21:03.799       , +19:48:44.7        , 4.322 , 1.45e+07, 6.4e+31

  B1919+20      , 19:21:51.597       , +20:03:20.8        , 3.292 , 2.41e+08, 4.5e+30
  B1919+21      , 19:21:44.815       , +21:53:02.25       , 0.300 , 1.57e+07, 2.2e+31
  J1922+1131    , 19:22:50.27        , +11:31:58.5        , 10.486, 3.47e+08, 5.7e+30
  J1922+1733    , 19:22:53.2180      , +17:33:23.47       , 5.360 , 2.8e+05 , 4.0e+34
  B1920+20      , 19:22:08.00        , +20:17:57.3        , 5.280 , 2.86e+07, 1.6e+31

  B1920+21      , 19:22:53.531       , +21:10:41.97       , 4.000 , 2.09e+06, 2.6e+32
  J1922+58      , 19:22              , +58:28             , 5.524 , *       , *
  J1923-0408    , 19:23:10.96        , -04:08:19.4        , 1.236 , 2.68e+08, 1.8e+30
  J1923+1143g   , 19:23:38           , +11:43             , 7.783 , *       , *
  J1923+1521g   , 19:23:12           , +15:21             , 6.995 , *       , *

  B1921+17      , 19:23:07.85        , +17:06:09.4        , 3.975 , 2.02e+08, 1.0e+31
  J1923+2022g   , 19:23:56           , +20:22             , 4.626 , *       , *
  J1923+2515    , 19:23:22.492220    , +25:15:40.58114    , 1.201 , 6.28e+09, 6.9e+33
  J1923+4243    , 19:23:15.240       , +42:43:18.64       , 4.684 , 3.72e+06, 4.7e+32
  J1924+1343g   , 19:24:20           , +13:43             , 3.045 , *       , *

  J1924+1509g   , 19:24:34           , +15:09             , 6.358 , *       , *
  J1924+1510g   , 19:24:02           , +15:10             , 3.469 , *       , *
  J1924+1628    , 19:24:44.090       , +16:28:37.69       , 10.470, 1.85e+07, 2.4e+32
  J1924+1631    , 19:24:54.88        , +16:31:48.8        , 10.183, 1.28e+05, 5.7e+32
  J1924+1639    , 19:24:03.1115      , +16:39:40.756      , 5.059 , 9.77e+05, 2.6e+34

  J1924+1713    , 19:24:32.517       , +17:13:33.0        , 10.902, 1.06e+08, 1.0e+31
  J1924+1917    , 19:24:26.21        , +19:17:24.4        , 8.594 , 1.02e+08, 3.8e+30
  J1924+1923g   , 19:24:20           , +19:23             , 9.824 , *       , *
  J1924+1932g   , 19:24:49           , +19:32             , 6.612 , *       , *
  J1924+2027g   , 19:24:34           , +20:27             , 5.294 , *       , *

  J1924+2037g   , 19:24:34           , +20:37             , 2.935 , *       , *
  B1922+20      , 19:24:40           , +20:40:03          , 5.951 , 1.8e+06 , 6.1e+33
  J1925+1532g   , 19:25:00           , +15:32             , 4.202 , *       , *
  J1925-16      , 19:25:06           , -16:01:00          , 7.935 , *       , *
  J1925+1629g   , 19:25:10           , +16:29             , 5.118 , *       , *

  J1925+1636g   , 19:25:48           , +16:36             , 1.536 , *       , *
  J1925+1720    , 19:25:27.031       , +17:20:27.31       , 5.048 , 1.15e+05, 9.5e+35
  J1925+19      , 19:25:26           , +19:04             , 8.329 , *       , *
  B1923+04      , 19:26:24.472       , +04:31:31.54       , 4.995 , 6.91e+06, 7.8e+31
  J1926-0652    , 19:26:37.041       , -06:52:42.7        , 5.286 , 6.51e+07, 3.7e+30

  J1926+0737    , 19:26:33.740       , +07:37:07.2        , 8.722 , 1.34e+07, 4.6e+32
  J1926-1314    , 19:26:53.835       , -13:14:03.8        , 1.531 , 2.11e+06, 1.2e+31
  B1924+14      , 19:26:57.22        , +14:34:55.3        , 5.649 , 9.56e+07, 3.7e+30
  J1926+1452g   , 19:26:55           , +14:52             , 6.481 , *       , *
  J1926+1614    , 19:26:50.202       , +16:14:18.77       , 1.262 , 1.46e+08, 4.5e+31

  J1926+1631g   , 19:26:24           , +16:31             , 4.822 , *       , *
  B1924+16      , 19:26:45.322       , +16:48:32.78       , 6.000 , 5.11e+05, 3.6e+33
  J1926+1857g   , 19:26:59           , +18:57             , 9.569 , *       , *
  B1924+19      , 19:26:22.82        , +19:28:11.7        , 10.569, 1.49e+07, 2.3e+31
  J1926+2016    , 19:26:18.064       , +20:16:01.13       , 5.948 , 1.35e+06, 5.2e+33

  J1927+0911    , 19:27:25.628       , +09:11:05.7        , 10.939, 7.24e+07, 1.0e+32
  J1927+1430g   , 19:27:40           , +14:30             , 5.626 , *       , *
  B1925+18      , 19:27:10.422       , +18:52:08.5        , 5.443 , 6.59e+07, 4.1e+31
  B1925+188     , 19:27:24.97        , +18:56:36.8        , 3.100 , 2.11e+06, 3.3e+33
  B1925+22      , 19:27:08.08        , +22:34:57.3        , 7.222 , 2.94e+07, 1.0e+31

  J1928-0108    , 19:28:18.93        , -01:08:55.7        , 9.696 , 1.34e+07, 8.3e+30
  J1928+1245    , 19:28:45.39360     , +12:45:53.374      , 6.079 , 2.85e+09, 2.4e+34
  J1928+1443    , 19:28:06.79        , +14:43:11.3        , 3.079 , 7.63e+07, 8.0e+30
  J1928+15      , 19:28:20           , +15:13             , 5.746 , *       , *
  J1928+1725    , 19:28:52           , +17:25:29          , 3.725 , *       , *

  J1928+1746    , 19:28:42.553       , +17:46:29.62       , 4.337 , 8.26e+04, 1.6e+36
  J1928+1809g   , 19:28:06           , +18:09             , 9.328 , *       , *
  J1928+1816g   , 19:28:10           , +18:16             , 7.206 , *       , *
  J1928+1839g   , 19:28:38           , +18:39             , 2.502 , *       , *
  J1928+1852g   , 19:28:05           , +18:52             , 5.834 , *       , *

  J1928+1902g   , 19:28:05           , +19:02             , 1.495 , *       , *
  J1928+1915g   , 19:29:00           , +19:15             , 4.632 , *       , *
  J1928+1923    , 19:28:05.163       , +19:23:31.32       , 10.583, 2.04e+06, 4.6e+32
  J1928+28      , 19:28              , +28                , 5.224 , *       , *
  J1929+00      , 19:29:28           , +00:26             , 1.497 , *       , *

